Job Title,Job Link
"Sr Java / Full Stack Developer",https://www.dice.com/job-detail/32b67546-5561-4857-9702-d31b617c8bcf
"Data Engineer (Scala and Spark )",https://www.dice.com/job-detail/ef0cefdf-c0d6-48db-8273-89ff2e58f62b
"Hadoop and Spark Developer",https://www.dice.com/job-detail/d4f3e074-4d03-4b04-adc4-fc504a3bdf3c
"Linux BSP Engineer",https://www.dice.com/job-detail/c8fcb897-7446-419a-8af0-85834d952112
"AWS Cloud Platform Engineer",https://www.dice.com/job-detail/ba3403e5-683e-4e14-8331-a77c882b7659
"Sr. Embedded Software Engineer",https://www.dice.com/job-detail/08c71f18-afa8-43f0-8827-0707707ee678
"IT Systems Engineer",https://www.dice.com/job-detail/972cd542-1598-4c44-b410-f462fd943911
"Salesforce Developer",https://www.dice.com/job-detail/88e48ced-5829-4189-93b9-fafe9cff8008
"NodeJs Developer",https://www.dice.com/job-detail/1ad0525f-85cf-41f2-a196-820b162804ca
"Communication Specialist",https://www.dice.com/job-detail/99dc3c3f-0919-4ba1-8749-4d2bcc77f158
"Field Service Engineer",https://www.dice.com/job-detail/d2b57d93-b5e4-4099-85d2-0e370ae6325c
"SAP ISU Service Cloud Functional Consultant",https://www.dice.com/job-detail/71db1444-9c25-44e4-a19e-44f26741acfc
"Data Engineer w/ Google Cloud Platform",https://www.dice.com/job-detail/d758e9be-8281-40ab-a32b-4d443cb59a97
"Business Analyst",https://www.dice.com/job-detail/98c5c9dc-4d46-4db3-add6-dee085e6f1c8
"Job: Audio Visual Engineer",https://www.dice.com/job-detail/0d61d431-039d-4144-8eea-e128c268bd19
"Lead Informatica Engineer",https://www.dice.com/job-detail/b2552f7c-31e8-4b3d-836d-5b465a24d0c3
"Sitecore Developer",https://www.dice.com/job-detail/e80ec8d6-2307-43e0-882f-b7fdfed2a038
"PHP Software Developer",https://www.dice.com/job-detail/1d470265-a5c2-49ba-89dd-9e78fb90797c
"Informatica Developer",https://www.dice.com/job-detail/7065ffe6-46dc-4215-831c-48f99f588a3a
"Staff Software Engineer / Architect",https://www.dice.com/job-detail/c57ab9b3-82e4-4f7f-9149-4fec93922695
"W-Onsite-Cincinnati, OH :: Senior Site Reliability Engineer/DevOps Specialist",https://www.dice.com/job-detail/6d818eb4-9a8e-4735-9ba0-490779b31e8b
"Lead Data Engineer - FTE/Direct Hire - Hybrid - Dublin, OH - W2 only",https://www.dice.com/job-detail/48335053-c65e-4a5b-aa00-b25db8e861ea
"Cognos Developer",https://www.dice.com/job-detail/cb79b85c-1971-4dda-bab6-ef76392c5e1b
"SAP BRIM Solution Architect",https://www.dice.com/job-detail/24102c6c-5ed0-4052-851f-f2cc4c7eb57a
"Senior Technical Product Manager",https://www.dice.com/job-detail/c1149d6b-4bca-4fe6-93a6-e69b26c687ab
"Database Administrator",https://www.dice.com/job-detail/3727bdd4-5396-468d-8a64-ced6711d3bd9
"Lead Consultant- .NET and Sitecore",https://www.dice.com/job-detail/8c0d3b73-bde2-4cfb-81f0-edbd05e17dd4
"React Naative Developer",https://www.dice.com/job-detail/45fef687-da5f-45cc-ad0d-a154262d955b
"SQL DBA",https://www.dice.com/job-detail/2e88a7a4-e17d-4be6-9ac4-ab4e9161194f
"Java Developer",https://www.dice.com/job-detail/3ea9b39c-c80a-441a-9f4d-6c77bf2fb2db
"Security Control Assessor",https://www.dice.com/job-detail/308c000a-22bc-4f34-8b2f-9d6c75c1b0af
"AI/ML Product Manager",https://www.dice.com/job-detail/893ddb92-b771-4a09-85f7-3fd563625649
"Principal Data Engineer in Fort Mill, SC or Austin, TX (Hybrid)",https://www.dice.com/job-detail/6b3af9c9-b880-4661-ad2c-1ba21b3774df
"Sr. Full-Stack Software Engineer",https://www.dice.com/job-detail/800032bc-f2f1-4c4d-a9a3-bae261ac8eeb
"Dat Delivery Leader/ Data Delivery Head (Data Modernization, BigData, AI/ ML, Telecommunications) - Sr. Director",https://www.dice.com/job-detail/acd72740-8cd9-47fb-8307-e87beacdf8a7
"Manufacturing Engineer 2 - Assembly and Installation",https://www.dice.com/job-detail/de434a60-7e66-4709-9efb-ff0aaa82c2e9
"Senior Business Analyst (Maximo)",https://www.dice.com/job-detail/4390a49c-c67e-418a-936d-90f3cfa3dbb8
"Sr Data Engineer",https://www.dice.com/job-detail/573ab0ab-3b15-4e0b-b49c-a07425d22681
"Java Developer",https://www.dice.com/job-detail/5170d3d2-4b89-48fd-b534-c9d926dfb660
"I&E Specialist",https://www.dice.com/job-detail/b895b1f5-d33c-4897-b632-9c387c171681
"Infra SDM",https://www.dice.com/job-detail/712fa21c-dea8-4b66-813a-298a1acea813
"Business Analyst",https://www.dice.com/job-detail/1179ae73-f17c-44b3-9ec4-7eb979c9e7ee
"Oracle SCM Solution Architect",https://www.dice.com/job-detail/323d971e-54b8-4a77-8eb2-572f975f8b89
"SRE R2 Architect",https://www.dice.com/job-detail/43746f8f-3d69-4ffc-8d3b-4bb468fa7c8a
"Junior Helpdesk Support Engineer",https://www.dice.com/job-detail/73131cc4-08e4-484d-af90-8513bac8d178
"Software Engineer",https://www.dice.com/job-detail/c71e970a-3c01-4a33-8e88-1ad5881e260b
"Senior SailPoint Developer",https://www.dice.com/job-detail/92deca24-5aa1-4943-9aa7-7530e62b2249
"Salesforce Solution Owner",https://www.dice.com/job-detail/66ceb1aa-4b93-4cbc-abe0-6dc2879e559c
"Fullstack AI Principal Consultant/Lead-NYC (2 days/week onsite) - Full-time",https://www.dice.com/job-detail/0faada74-cef2-4ce0-94b8-910e3deb7bd3
"Business Systems Analyst - Sr",https://www.dice.com/job-detail/b44205db-ca2a-444a-be1b-747c208d9c62
"Director of Product Design",https://www.dice.com/job-detail/742e5ec7-7076-4b2b-b193-0cdc1e97ff8b
"Deputy CSOC Manager (0571)",https://www.dice.com/job-detail/3db4c44f-eb00-48dd-8793-6fb8030e6d52
"Professional Services Project Manager",https://www.dice.com/job-detail/21dfc136-71d2-41f7-adf9-f829a2154ff3
"Business Analyst/Product Owner",https://www.dice.com/job-detail/26ad6ac1-302d-4491-8479-b7df6602ac9d
".Net Web Developer",https://www.dice.com/job-detail/70c8b0ba-4eca-45a7-a198-c0d6f9164dce
"Technical Business Analyst",https://www.dice.com/job-detail/60974510-e97a-4a0a-8bbf-4821bcb085f9
"SAP Ariba Engineer",https://www.dice.com/job-detail/249d90ea-77d7-46fe-b6b8-57c462e90c93
"Oracle Cloud HCM Configuration Analyst Permanent Job in Either Sacramento or Chandler, AZ",https://www.dice.com/job-detail/103e27fd-0fe1-4c23-a50f-b9648f4fe313
"Oracle Cloud HCM Configuration Analyst Permanent Job in Either Sacramento or Chandler, AZ",https://www.dice.com/job-detail/3e35d5b3-a322-4a59-a42e-80a57205c284
"Project Manager III",https://www.dice.com/job-detail/7a68bcf2-ce1d-4531-8fa2-bf85f2a40f06
"Research and Development Technician",https://www.dice.com/job-detail/f5995ccd-c197-4985-95f9-e81baaa3620b
"Information Technology - Database Administrator Specialist",https://www.dice.com/job-detail/fbd931f2-5250-425e-8935-5bb2e0ddd1b2
"Help Desk Support Specialist/IT Certified Professional (Peal Harbor, HI)",https://www.dice.com/job-detail/2d66058b-cc80-4e90-b160-a6e7de63062e
"CT Thermal Analysis Engineer",https://www.dice.com/job-detail/8058c601-c662-4a44-ac62-e10f3fe9472e
"Machine Learning Data Engineer",https://www.dice.com/job-detail/4b2c8fca-722d-4ec3-807b-25fe9219ce64
"Information Security Analyst (Risk & Compliance)",https://www.dice.com/job-detail/b785e971-0b7a-4f65-a8c1-c8f5d7ad9829
"Network Real Estate Specialist / Developer - III",https://www.dice.com/job-detail/51cd40a0-3208-4dcd-bf91-59fe504b3423
"Engineer-Transport - II",https://www.dice.com/job-detail/45ec1285-27cc-4bfe-9bc1-5bbf1806bb2f
"Expert Developer - SailPoint",https://www.dice.com/job-detail/ece93af6-35c0-416d-abbe-b2439a6b0911
"Fulltime Role-- Expert SailPoint Developer -- Hybrid:: Oakland/Rocklin, CA",https://www.dice.com/job-detail/3a3d592c-6c09-4d40-b9e2-77504322df60
"Enterprise Architect 3",https://www.dice.com/job-detail/73d44c9c-0531-4081-826d-117ad87ffa67
"Java Web Developer",https://www.dice.com/job-detail/9c84f608-ac64-46fe-9a7f-50cc14d9dd99
"Full-Stack Web Developer",https://www.dice.com/job-detail/4dce5611-014f-4f8a-818a-daf97d623875
"Senior Full-Stack Web Developer",https://www.dice.com/job-detail/afa2722d-0c81-4e34-a676-9c60888a12d9
"SailPoint Engineer",https://www.dice.com/job-detail/fbc42e4c-680a-486f-9a78-9b03924e1a7b
"Detroit Public Schools Help Desk 1",https://www.dice.com/job-detail/639977b3-3854-4ebf-80cf-9a6dde7156ad
"Windows Server Engineer",https://www.dice.com/job-detail/fbe87fe8-bcf9-4cb4-b729-e61b88493d2a
